round,i,j,b_0,b_1
10,2,0,0.5,0.5
10,2,1,0.5,0.5
10,2,3,0.5,0.5
10,2,4,0.5,0.5
10,2,5,0.5,0.5
10,3,0,0.5,0.5
10,3,1,0.5,0.5
10,3,2,0.5,0.5
10,3,4,0.5,0.5
10,3,5,0.5,0.5
10,4,0,0.5,0.5
10,4,1,0.5,0.5
10,4,2,0.5,0.5
10,4,3,0.5,0.5
10,4,5,0.5,0.5
10,5,0,0.5,0.5
10,5,1,0.5,0.5
10,5,2,0.5,0.5
10,5,3,0.5,0.5
10,5,4,0.5,0.5
11,0,1,0.5,0.5
11,0,2,0.5,0.5
11,0,3,0.5,0.5
11,0,4,0.5,0.5
11,0,5,0.5,0.5
11,1,0,0.5,0.5
11,1,2,0.5,0.5
11,1,3,0.5,0.5
11,1,4,0.5,0.5
11,1,5,0.5,0.5
11,2,0,0.5,0.5
11,2,1,0.5,0.5
11,2,3,0.5,0.5
11,2,4,0.5,0.5
11,2,5,0.5,0.5
11,3,0,0.5,0.5
11,3,1,0.5,0.5
11,3,2,0.5,0.5
11,3,4,0.5,0.5
11,3,5,0.5,0.5
11,4,0,0.5,0.5
11,4,1,0.5,0.5
11,4,2,0.5,0.5
11,4,3,0.5,0.5
11,4,5,0.5,0.5
11,5,0,0.5,0.5
11,5,1,0.5,0.5
11,5,2,0.5,0.5
11,5,3,0.5,0.5
11,5,4,0.5,0.5
12,0,1,0.5,0.5
12,0,2,0.5,0.5
12,0,3,0.5,0.5
12,0,4,0.5,0.5
12,0,5,0.5,0.5
12,1,0,0.5,0.5
12,1,2,0.5,0.5
12,1,3,0.5,0.5
12,1,4,0.5,0.5
12,1,5,0.5,0.5
12,2,0,0.5,0.5
12,2,1,0.5,0.5
12,2,3,0.5,0.5
12,2,4,0.5,0.5
12,2,5,0.5,0.5
12,3,0,0.5,0.5
12,3,1,0.5,0.5
12,3,2,0.5,0.5
12,3,4,0.5,0.5
12,3,5,0.5,0.5
12,4,0,0.5,0.5
12,4,1,0.5,0.5
12,4,2,0.5,0.5
12,4,3,0.5,0.5
12,4,5,0.5,0.5
12,5,0,0.5,0.5
12,5,1,0.5,0.5
12,5,2,0.5,0.5
12,5,3,0.5,0.5
12,5,4,0.5,0.5
13,0,1,0.5,0.5
13,0,2,0.5,0.5
13,0,3,0.5,0.5
13,0,4,0.5,0.5
13,0,5,0.5,0.5
13,1,0,0.5,0.5
13,1,2,0.5,0.5
13,1,3,0.5,0.5
13,1,4,0.5,0.5
13,1,5,0.5,0.5
13,2,0,0.5,0.5
13,2,1,0.5,0.5
13,2,3,0.5,0.5
13,2,4,0.5,0.5
13,2,5,0.5,0.5
13,3,0,0.5,0.5
13,3,1,0.5,0.5
13,3,2,0.5,0.5
13,3,4,0.5,0.5
13,3,5,0.5,0.5
13,4,0,0.5,0.5
13,4,1,0.5,0.5
13,4,2,0.5,0.5
13,4,3,0.5,0.5
13,4,5,0.5,0.5
13,5,0,0.5,0.5
13,5,1,0.5,0.5
13,5,2,0.5,0.5
13,5,3,0.5,0.5
13,5,4,0.5,0.5
14,0,1,0.5,0.5
14,0,2,0.5,0.5
14,0,3,0.5,0.5
14,0,4,0.5,0.5
14,0,5,0.5,0.5
14,1,0,0.5,0.5
14,1,2,0.5,0.5
14,1,3,0.5,0.5
14,1,4,0.5,0.5
14,1,5,0.5,0.5
14,2,0,0.5,0.5
14,2,1,0.5,0.5
14,2,3,0.5,0.5
14,2,4,0.5,0.5
14,2,5,0.5,0.5
14,3,0,0.5,0.5
14,3,1,0.5,0.5
14,3,2,0.5,0.5
14,3,4,0.5,0.5
14,3,5,0.5,0.5
14,4,0,0.5,0.5
14,4,1,0.5,0.5
14,4,2,0.5,0.5
14,4,3,0.5,0.5
14,4,5,0.5,0.5
14,5,0,0.5,0.5
14,5,1,0.5,0.5
14,5,2,0.5,0.5
14,5,3,0.5,0.5
14,5,4,0.5,0.5
15,0,1,0.5,0.5
15,0,2,0.5,0.5
15,0,3,0.5,0.5
15,0,4,0.5,0.5
15,0,5,0.5,0.5
15,1,0,0.5,0.5
15,1,2,0.5,0.5
15,1,3,0.5,0.5
15,1,4,0.5,0.5
15,1,5,0.5,0.5
15,2,0,0.5,0.5
15,2,1,0.5,0.5
15,2,3,0.5,0.5
15,2,4,0.5,0.5
15,2,5,0.5,0.5
15,3,0,0.5,0.5
15,3,1,0.5,0.5
15,3,2,0.5,0.5
15,3,4,0.5,0.5
15,3,5,0.5,0.5
15,4,0,0.5,0.5
15,4,1,0.5,0.5
15,4,2,0.5,0.5
15,4,3,0.5,0.5
15,4,5,0.5,0.5
15,5,0,0.5,0.5
15,5,1,0.5,0.5
15,5,2,0.5,0.5
15,5,3,0.5,0.5
15,5,4,0.5,0.5
16,0,1,0.5,0.5
16,0,2,0.5,0.5
16,0,3,0.5,0.5
16,0,4,0.5,0.5
16,0,5,0.5,0.5
16,1,0,0.5,0.5
16,1,2,0.5,0.5
16,1,3,0.5,0.5
16,1,4,0.5,0.5
16,1,5,0.5,0.5
16,2,0,0.5,0.5
16,2,1,0.5,0.5
16,2,3,0.5,0.5
16,2,4,0.5,0.5
16,2,5,0.5,0.5
16,3,0,0.5,0.5
16,3,1,0.5,0.5
16,3,2,0.5,0.5
16,3,4,0.5,0.5
16,3,5,0.5,0.5
16,4,0,0.5,0.5
16,4,1,0.5,0.5
16,4,2,0.5,0.5
16,4,3,0.5,0.5
16,4,5,0.5,0.5
16,5,0,0.5,0.5
16,5,1,0.5,0.5
16,5,2,0.5,0.5
16,5,3,0.5,0.5
16,5,4,0.5,0.5
17,0,1,0.5,0.5
17,0,2,0.5,0.5
17,0,3,0.5,0.5
17,0,4,0.5,0.5
17,0,5,0.5,0.5
17,1,0,0.5,0.5
17,1,2,0.5,0.5
17,1,3,0.5,0.5
17,1,4,0.5,0.5
17,1,5,0.5,0.5
17,2,0,0.5,0.5
17,2,1,0.5,0.5
17,2,3,0.5,0.5
17,2,4,0.5,0.5
17,2,5,0.5,0.5
17,3,0,0.5,0.5
