belief_updates_enabled,belief_variant,experiment,final_mce,focal_mean_payoff_per_round,mean_payoff_per_agent_per_round,metrics_num_true_types,num_prototypes,observability,p_obs,payoff_game,run_dir,seed
True,bayes_on,belief_ablation,0.031528420588161056,1.2795,1.9547138047138046,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_7,7
True,bayes_on,belief_ablation,0.03399601609973693,1.224,1.9671557185728576,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_8,8
True,bayes_on,belief_ablation,0.03171921307788936,1.204,1.964440734557596,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/bayes_on/seed_9,9
False,uniform_beliefs,belief_ablation,0.7194061680125781,1.2455,1.9779926642214072,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_0,0
False,uniform_beliefs,belief_ablation,0.7265102665486064,1.2565,1.9907038512616202,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_1,1
False,uniform_beliefs,belief_ablation,0.7562201975762279,1.2325,1.9355644355644355,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_2,2
False,uniform_beliefs,belief_ablation,0.7475026148347287,1.3455,1.9705390023434886,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_3,3
False,uniform_beliefs,belief_ablation,0.74332340779105,1.278,1.9567323755429336,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_4,4
False,uniform_beliefs,belief_ablation,0.745929042180038,1.2955,1.9728386883073865,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_5,5
False,uniform_beliefs,belief_ablation,0.7460452609886727,1.2235,1.9480148048452222,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_6,6
False,uniform_beliefs,belief_ablation,0.7409308617540631,1.276,1.9473063973063973,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_7,7
False,uniform_beliefs,belief_ablation,0.7439078787634046,1.219,1.9596532177392465,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_8,8
