round,i,j,r_i,r_j
41,4,8,0.0,3.0
41,19,9,3.0,0.0
41,8,12,4.0,4.0
41,12,0,3.0,0.0
41,14,3,4.0,4.0
41,4,10,4.0,4.0
41,13,4,3.0,0.0
42,19,9,3.0,0.0
42,4,0,4.0,4.0
42,16,14,3.0,0.0
42,11,13,0.0,3.0
42,16,18,3.0,3.0
42,1,15,3.0,3.0
43,2,13,0.0,3.0
43,18,6,3.0,0.0
43,0,1,4.0,4.0
43,4,6,4.0,4.0
43,19,7,3.0,3.0
43,9,16,0.0,3.0
43,0,15,0.0,3.0
43,19,16,3.0,3.0
43,12,7,3.0,3.0
43,0,19,4.0,4.0
43,18,15,3.0,3.0
43,15,11,3.0,0.0
43,13,15,3.0,3.0
43,19,6,3.0,0.0
43,16,19,3.0,3.0
44,0,19,0.0,3.0
44,3,11,3.0,3.0
44,18,2,3.0,0.0
44,10,15,3.0,3.0
44,1,10,0.0,3.0
44,19,17,3.0,3.0
44,2,8,4.0,4.0
44,1,6,4.0,4.0
44,13,3,3.0,0.0
45,16,17,3.0,3.0
45,1,9,4.0,4.0
45,10,19,3.0,3.0
45,0,13,0.0,3.0
45,7,3,3.0,0.0
45,8,11,0.0,3.0
45,19,1,3.0,0.0
45,6,5,4.0,4.0
45,9,15,3.0,3.0
45,14,16,0.0,3.0
45,13,6,3.0,0.0
45,17,8,3.0,0.0
45,19,9,3.0,0.0
45,6,15,3.0,3.0
46,19,18,3.0,3.0
46,12,1,3.0,0.0
46,4,10,0.0,3.0
46,2,10,0.0,3.0
46,8,15,3.0,3.0
47,9,8,4.0,4.0
47,12,5,3.0,0.0
47,18,0,3.0,3.0
47,19,11,3.0,3.0
47,2,8,0.0,3.0
47,9,2,3.0,0.0
47,15,7,3.0,0.0
47,11,1,4.0,4.0
47,6,4,4.0,4.0
47,10,18,0.0,3.0
47,7,11,0.0,3.0
47,14,19,3.0,3.0
48,17,2,3.0,0.0
48,10,7,3.0,3.0
48,5,16,0.0,3.0
48,2,0,4.0,4.0
48,12,8,3.0,0.0
48,18,6,3.0,3.0
48,14,5,3.0,3.0
48,5,10,3.0,3.0
48,15,3,3.0,0.0
48,12,6,3.0,0.0
48,7,18,0.0,3.0
48,14,1,3.0,0.0
48,16,14,3.0,3.0
48,8,17,4.0,4.0
49,15,3,3.0,0.0
49,15,14,3.0,3.0
49,0,18,0.0,3.0
49,1,5,4.0,4.0
49,7,4,3.0,0.0
49,12,8,4.0,4.0
49,6,4,4.0,4.0
49,9,3,4.0,4.0
49,16,12,3.0,0.0
49,8,13,0.0,3.0
49,2,18,0.0,3.0
49,4,1,4.0,4.0
50,8,17,0.0,3.0
50,14,2,3.0,3.0
50,19,1,3.0,0.0
50,13,9,4.0,4.0
50,5,1,4.0,4.0
50,5,14,0.0,3.0
50,0,14,0.0,3.0
50,12,15,0.0,3.0
50,12,10,3.0,0.0
50,3,12,4.0,4.0
50,14,11,3.0,3.0
50,8,7,4.0,4.0
51,1,9,4.0,4.0
51,1,11,0.0,3.0
51,12,16,0.0,3.0
51,15,19,3.0,3.0
51,0,6,4.0,4.0
51,6,18,0.0,3.0
51,9,13,0.0,3.0
51,6,17,3.0,3.0
51,16,8,3.0,0.0
51,15,0,3.0,0.0
51,1,5,0.0,3.0
51,17,11,3.0,0.0
51,5,2,4.0,4.0
52,0,14,0.0,3.0
52,13,5,3.0,0.0
52,11,13,0.0,3.0
52,0,7,4.0,4.0
52,5,17,0.0,3.0
52,17,10,3.0,3.0
52,0,2,4.0,4.0
52,17,7,3.0,3.0
52,3,5,4.0,4.0
52,19,6,3.0,0.0
52,15,4,3.0,0.0
52,7,9,4.0,4.0
52,4,10,3.0,3.0
52,12,1,3.0,0.0
53,4,1,4.0,4.0
53,9,6,4.0,4.0
53,1,4,3.0,0.0
53,12,17,0.0,3.0
53,0,9,0.0,3.0
53,2,18,0.0,3.0
53,18,3,3.0,0.0
53,10,14,3.0,3.0
53,11,4,3.0,0.0
53,8,2,4.0,4.0
53,10,5,3.0,0.0
